ORNEK_NO,old_id,new_id,IKLIM_TIPI,ORIJIN,ISLETME_SEKLI,KARISIM_SEKLI,KAPALILIK_DURUMU,LOKAL_KONUM,BOLGE_ADI,MUDURLUK_ADI,SEFLIK_ADI,NAD_X,NAD_Y,PLANDAKI_MESCERE_TIPI,AKTUEL_MES_TIP,BONITET,BOLME_NO,EGIM,BAKI,RAKIM,PAFTA_NO,UTM_X,UTM_Y,IL_ADI,ILCE_ADI,DILIM_NO,ONCEKI_ARAZI,MEVCUT_ARAZI,STATU_VE_TESCIL,STATUSU,TKGM_2021_,TAPUCINSAC,PARSEL_TUR,ARAZI_KUL,ISLETME_DURUMU,ORMAN_FORMU,MULKIYET,KATLILIK_DURUMU,GELISIM_CAGI,KORUMA_AMACLI_ONLEM,KORUMA_AMACLI_ONLEM_SEKLI,İŞLETME_AMAÇLARI,ADAYA_ANIT_AGACI,ADAY_ANIT_AGACI_TURU,ADAY_ANIT_AGACI_BOY,ADAY_ANIT_AGACI_CAP,ADAY_ANIT_AGACI_UTMX,ADAY_ANIT_AGACI_UTMY,DOGAL_GENCLIK,DAGILIM,DIGER_VEJETASYON_TURU,DIGER_VEJETASYON_TIPI,YUZEYSEL_TASLIK,DIS_TOPRAK,DIS_TOPRAK_ORTULU,DIS_TOPRAK_CIPLAK_DURUMU,OLU_ORTU_TIPI,OLU_ORTU_TIPI_ESAS_TUR_KARISIMI,OLU_ORTU_KALINLIGI_MUL,OLU_ORTU_KALINLIGI_HUMUS,OLU_ORTU_CURUNTULU_MUL,MUTLAK_DERINLIK,FIZYOLOJIK_DERINLIK,H1_HORIZON_TASLIGI,H2_HORIZON_TASLIGI,H3_HORIZON_TASLIGI,H4_HORIZON_TASLIGI,H1_HORIZON_KALINLIGI,H2_HORIZON_KALINLIGI,H3_HORIZON,H4__HORIZON,ANKAYA,ANKAYA_NOT,HEDEF_TURU,HEDEF_TURU_ACIKLAMA,DOGALLIK,ORMAN_ZARARLILARI,YAPRAK_KAYIP_ORANI,ENVANTER_EKIBI,ROPERDEN_ORNEK_ALANA_GIDIS,DIGER_GOZLEM,BAG_1,BAG_2,ENVANTER_TARIHI,YIL,BLOK
170078,,,Karadeniz kiyi kusagi,Tohum Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Tepe,İSTANBUL,VİZE,KIZILAĞAÇ,27.921125,41.736223,Mbc3,Mbc3,2,133,10,Kuzey Batı,317,E19-c2,576600,4620900,Kırklareli,Vize,35,Orman,Orman,Statüsüz,,Orman,Yavuzdere Devlet Ormanı,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Az,Heterojen,,Yok,3,Örtülü,Ölü Örtü Kaplı,,Çürüntü Mul,Yapraklı Karışık,1,,1,110,110,,5,10,,,15,95,,Numune Alınmadı,Ulaşılamadı,,Bilinmiyor,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,ARAÇTAN NOKTAYA 5 DERECE 25 METRE,TÜYLÜ MEŞE VE SAÇLI MEŞE TÜRLERİ GÖZLEMLENDİ.,PROFİLDEN NOKTAYA 65 DERECE 6 METRE,,182-2021,2021,1
170088,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Orta Kapalı,Orta Yamaç,İSTANBUL,VİZE,KIŞLACIK,27.920739,41.709206,Ma3,Ma3,3,156,20,Güney,235,E19-c2,576600,4617900,Kırklareli,Vize,35,Bilinmiyor,Orman,Statüsüz,,Orman,Devlet Ormanı,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,A,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Az,Heterojen,,Yok,10,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Saf Yapraklı,2,,1,110,110+,10,20,40,,0,11-60,6110,,Numune Alındı,,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, aracın kaldığı yerden 336 derece açıyla 182 metre uzaklıktadır.",-,"Nokta, profil çukuruna 320 derece açıyla ve 13 metre uzaklıktadır.",,22-08-2022,2022,2
170098,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,Orta Yamaç,İSTANBUL,VİZE,KIŞLACIK,27.920354,41.682188,Ma3,Ma3,3,215,20,Güney,136,E19-c2,576600,4614900,Kırklareli,Vize,35,Bilinmiyor,Orman,Statüsüz,,Orman Degil, , ,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,A,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Yok,,,Yok,,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Yapraklı Karışık,1,,1,110,110+,5,4,4,,30,30,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Uygun,Sarılıcı Bitkiler,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 236° açı ile 98 m mesafededir.",Yok,"Nokta, toprak profilinden 240° açı ile ,3 m mesafededir.",,20-08-2023,2023,3
170108,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Normal Kapalı,Üst Yamaç,İSTANBUL,VİZE,KÖMÜRKÖY,27.919969,41.65517,Mab3,Mab3,3,153,14,Doğu,252,E19-c2,576600,4611900,Kırklareli,Vize,35,Orman,Orman,Statüsüz,,Orman,ORMAN,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,B,2,,En Yüksek Miktarda Yapacak Odun Üretimi,2,,,,,,Az,Heterojen,,Yok,2,Örtülü,Yeşillenmiş,,Ham Humus,Saf Yapraklı,,"0,10",,100,100,1,5,10,,35,45,55,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,,,,19-08-2019,2019,4
170118,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Normal Kapalı,Orta Yamaç,İSTANBUL,VİZE,KÖMÜRKÖY,27.919585,41.628151,Mab2,Mab2,3,293,37,Kuzey,191,E19-c2,576600,4608900,Kırklareli,Vize,35,Orman,Orman,Statüsüz,,Orman,KİREMİTHANE DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,B,2,,En Yüksek Miktarda Yapacak Odun Üretimi,2,,,,,,Orta,Heterojen,,Yok,10,,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı Karışık,,"0,30",,110+,100,5,10,40,,15,25,25,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,,Patika yoldan 400 metre gidilerek noktaya varıldı.,,13-08-2020,2020,5
170128,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Normal Kapalı,Üst Yamaç,İSTANBUL,VİZE,ÇAKILLI,27.919201,41.601133,Mab3,Mab3,3,416,7,Kuzey,209,E19-c3,576600,4605900,Kırklareli,Vize,35,Orman,Orman,Statüsüz,,Orman Degil, ,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Orta,Heterojen,,Yok,5,Örtülü,Ölü Örtü Kaplı,,Ham Humus,Saf Yapraklı,2,1,1,40,40,,10,15,,,20,20,,Numune Alındı,,,Bilinmiyor,Doğala Yakın,Yok,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,Araçdan noktaya Kuzey istikametine 850 mt.1 derece de.,-,"Profilden noktayaBatı istikametine 5 derece 3,76 mt.",,212-2021,2021,1
170138,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Üst Yamaç,İSTANBUL,VİZE,ÇAKILLI,27.918818,41.574115,Mab3,Mab3,3,294,30,Kuzey Batı,238,E19-c3,576600,4602900,Kırklareli,Vize,35,Bilinmiyor,Orman,Statüsüz,,Orman,KÖPRÜDERE DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Yok,,,Yok,30,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Yapraklı Karışık,2,,1,110,80,,5,15,,0-30,,3110,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Uygun,Kesim,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, aracın kaldığı yerden 350 derece 103 metre uzaklıktadır.",Noktanın bulunduğu çevrede kesim çalışması yapılmış.,"Nokta, profil çukuruna 195 derece açıyla ve 7,5 metre uzaklıktadır.",,24-08-2022,2022,2
170148,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,Orta Yamaç,İSTANBUL,VİZE,ÇAKILLI,27.918435,41.547096,Mab3,Mab3,3,432,7,Düzlük,236,E19-c3,576600,4599900,Kırklareli,Vize,35,Bilinmiyor,Orman,Statüsüz,,Orman,DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,Askeri Tesis ve Tatbikat Alanları,Hayır,,,,,,Az,Heterojen,,Yok,,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Yapraklı Karışık,0.5,,0.5,110,110,10,4,2,,30,30,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Uygun,Kesim,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 220° açı ile 8 m mesafededir.",Yok,"Nokta, toprak profilinden 220° açı ile 9 m mesafededir.",,22-08-2023,2023,3
170158,,,Karadeniz kiyi ardi iliman iklim kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Normal Kapalı,Taban,İSTANBUL,VİZE,VİZE,27.918053,41.520077,Çkbc3,Çkbc3,3,483,8,Güney,215,E19-c3,576600,4596900,Kırklareli,Vize,35,Orman,Orman,Statüsüz,,Orman,DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,B,2,,En Yüksek Miktarda Yapacak Odun Üretimi,2,,,,,,Yok,,,,5,,Yeşillenmiş,,Ham Humus,Saf Yapraklı,,1,,100,100,1,5,10,,50,60,40,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,,,,17-08-2019,2019,4
170168,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+IBRELI,Orta Kapalı,Üst Yamaç,İSTANBUL,TEKİRDAĞ,SARAY,27.917672,41.493058,MGnab2,MGnab2,3,160,12,Kuzey Batı,218,F19-b2,576600,4593900,Tekirdağ,Saray,35,Orman,Orman,Statüsüz,,Orman Degil, , ,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,İki Katlı,B,2,,Doğayı Koruma,2,,,,,,Yok,,,,3,,Ölü Örtü Kaplı,,Ham Humus,Saf Yapraklı,,"0,50",,65,65,5,10,,,55,65,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,Bakima ihtiyaci var.,,,13-08-2020,2020,5
170278,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Açıklık Alan,YAPRAKLI,Boşluklu Kapalı,Taban,İSTANBUL,TEKİRDAĞ,ÇERKEZKÖY ,27.913508,41.195842,Z,Z,0,182,2,Düzlük,151,F19-c2,576600,4560900,Tekirdağ,Çorlu,35,Ziraat,Ziraat,Statüsüz,,,,,,İşletilmeyen ,Aynıyaşlı Maktalı,Özel Orman,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Tarım arazisi ,Hayır,,,,,,Az,Heterojen,,Yok,15,Örtülü,Yabanlaşmış,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Bilinmiyor,Doğala Yakın,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,Araçdan noktaya Batı istikametine 15 mt. 187 derecede.,Nokta Tarla parseline düştü.,,,201-2021,2021,1
170288,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,TEKİRDAĞ,ÇERKEZKÖY ,27.913133,41.168822,BM,BM,0,208,5,Düzlük,201,F19-c2,576600,4557900,Tekirdağ,Çorlu,35,Ziraat,Ziraat,Statülü,Diğer,,,,,Yok,Açıklık Alan,Özel Orman,Yok,NA,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Yok,Yok,,Yok,,Örtülü,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Duzluk,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,-,Nokta ziraat parseline düşmüştür.,,,29-08-2022,2022,2
173911,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Taban,İSTANBUL,TEKİRDAĞ,LALADERE,27.953607,41.492766,Mab2,Mab2,3,168,5,Düzlük,231,F19-b2,579600,4593900,Tekirdağ,Saray,35,Bilinmiyor,Orman,Statüsüz,,Orman Degil, ,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Yok,,,Yok,5,Örtülü,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı Karışık,2,,1,110,110+,15,,35,,0-35,,3610,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Uygun,Hayvan,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, aracın kaldığı yerden 288 derece açıyla 14 metre uzaklıktadır.",Nokta çevresinde çok sayıda kesilmiş dal bulunmaktadır.,"Nokta, profil çukurundan 60 derece açıyla ve 2 metre uzaklıktadır.",,24-08-2022,2022,2
173931,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,TEKİRDAĞ,SARAY,27.952816,41.438728,Z,Z,0,362,1,Düzlük,171,F19-b2,579600,4587900,Tekirdağ,Saray,35,İskan,İskan,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Tarım arazisi ,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,,Özel mülke ait iskan alanı,,14-07-2019,2019,4
174021,,,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI,Gevşek Kapalı,Orta Yamaç,İSTANBUL,TEKİRDAĞ,ÇERKEZKÖY ,27.94928,41.195553,OT,OT,0,172,15,Batı,95,F19-c2,579600,4560900,Tekirdağ,Çorlu,35,Bilinmiyor,Orman,Statüsüz,,Orman Degil, ,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Ağaçsız orman toprağı,Hayır,,,,,,Yok,,,Yok,,Örtülü,Yabanlaşmış,,Yok,Yok,,,,110,110+,2,2,2,,30,30,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Sarılıcı Bitkiler,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 301° açı ile 25 m mesafededir.","Ağaçların yaşları, burgu girmemesi nedeniyle ölçülemememiştir.","Nokta, toprak profilinden 274° açı ile 11,4 m mesafededir.",,18-07-2023,2023,3
174031,,,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Açıklık Alan,YAPRAKLI,Boşluklu Kapalı,Taban,İSTANBUL,TEKİRDAĞ,ÇERKEZKÖY,27.94889,41.168533,Z,Z,0,189,9,Doğu,70,F19-c2,579600,4557900,Tekirdağ,Çorlu,35,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,NA,2,,Tarım arazisi ,2,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Aciklik,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,Ziraat alanına düştüğü için toprak profili alınmamıştır.,Yoldan ayçiçek tarlasından geçilerek 120 metre yürüyerek noktaya varıldı. 15 metre tarladan ağaç kenarına çekildi.,,13-07-2019,2019,4
177386,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Alt Yamaç,İSTANBUL,DEMİRKÖY,İĞNEADA,27.997036,41.978772,Mb3,Mb3,1,6,50,Kuzey Doğu,40,E19-b2,582600,4647900,Kırklareli,Demirköy,35,Orman,Orman,Statülü,Yabani Hayatı ,Orman,Orman, ,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,OGM Yaban Hayatı Koruma ve Yönetim Alanları,Hayır,,,,,,Yok,,,Yok,10,Örtülü,Ölü Örtü Kaplı,,Çürüntü Mul,Saf Yapraklı,2,,1,100,100,,15,60,80,,10,60,30,Numune Alındı,,,Bilinmiyor,Doğala Yakın,Hayvan,Hasta,ERGİN ÇAĞATAY ÇANKAYA,"araçtan noktaya 66 derece 16,81 m",noktanın alt yamacında dere var,"profılden noktaya 150 derece 6,86 m",,08-01-2022,2021,1
177396,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Taban,İSTANBUL,DEMİRKÖY,İĞNEADA,27.996614,41.951756,Ma3,Ma3,2,58,30,Doğu,100,E19-b2,582600,4644900,Kırklareli,Demirköy,35,Bilinmiyor,Orman,Statüsüz,,Orman,Orman, ,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,A,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Yok,,,Yok,2,Örtülü,Yeşillenmiş,,Yaprak,Yapraklı Karışık,1,,,80,50,5,,10,40,0-20,,21-50,51-80,Numune Alındı,,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, aracın kaldığı yerden 225 derece ve 109 metre uzaklıktadır.",Karşı yamaçta bakım yapılmış olup noktanın olduğu yer çok sıktır. Dereye yaklaşık 20 metre kadar ,"Nokta, profil çukuruna 245 derece ve 6 metre uzaklıktadır ",,20-08-2022,2022,2
177406,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Üst Yamaç,İSTANBUL,DEMİRKÖY,İĞNEADA,27.996194,41.924739,Mab3,Mab3,2,89,5,Düzlük,127,E19-b2,582600,4641900,Kırklareli,Demirköy,35,Bilinmiyor,Orman,Statüsüz,,Orman,DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Az,Heterojen,,Yok,,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Yapraklı Karışık,2,,3,110,110+,2,1,1,,30,30,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 204° açı ile 32 m mesafededir.",Yok,"Nokta, toprak profilinden 153° açı ile 7,9 m mesafededir.",,19-08-2023,2023,3
177416,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Normal Kapalı,Taban,İSTANBUL,DEMİRKÖY,İĞNEADA,27.995774,41.897723,Mab3,Mab3,2,99,6,Güney,15,E19-b2,582600,4638900,Kırklareli,Demirköy,35,Orman,Orman,Statüsüz,,Orman,KASAP MERASI DEVLET ORMANI,1,İSKAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,B,2,,En Yüksek Miktarda Yapacak Odun Üretimi,2,,,,,,Az,Heterojen,,Yok,,,Yok,,Yok,Yok,,"1,50",,100,100,,1,3,,38,48,52,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,Istiksaf artiklari var.,,,26-08-2019,2019,4
177426,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Orta Kapalı,Orta Yamaç,İSTANBUL,DEMİRKÖY,SİVRİKULUBELER ,27.994099,41.789656,Mb3,Mb3,2,71,15,Doğu,31,E19-b3,582600,4626900,Kırklareli,Demirköy,35,Bilinmiyor,Orman,Statüsüz,,Orman,Yavuzdere Devlet Ormanı,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Az,Heterojen,,Yok,1,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Yapraklı Karışık,1,,1,110,110+,40,30,10,,30,30,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 188° açı ile 67 m mesafededir.",Yok,"Nokta, toprak profilinden 18° açı ile 3 m mesafededir.",,20-08-2023,2023,3
177436,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Normal Kapalı,Orta Yamaç,İSTANBUL,VİZE,YUMURTATEPE,27.993682,41.76264,Mb3,Mb3,2,57,29,Kuzey Doğu,76,E19-b3,582600,4623900,Kırklareli,Demirköy,35,Orman,Orman,Statüsüz,,Orman,Devlet Ormanı,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,B,2,,En Yüksek Miktarda Yapacak Odun Üretimi,2,,,,,,Yok,,,,3,,Yeşillenmiş,,Ham Humus,Saf Yapraklı,,"0,10",,110,110,30,35,55,,50,60,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,,,,20-08-2019,2019,4
177446,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Orta Kapalı,Üst Yamaç,İSTANBUL,VİZE,MİDYE,27.993266,41.735622,Mab3,Mab3,3,40,23,Kuzey,144,E19-c2,582600,4620900,Kırklareli,Vize,35,Orman,Orman,Statüsüz,,Orman,Devlet Ormanı,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,B,2,,En Yüksek Miktarda Yapacak Odun Üretimi,2,,,,,,Az,Heterojen,,Yok,,,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı Karışık,,1,,100,100,,,,,26,36,36,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,Orman yolundan 25 metre Batıya gidilerek noktaya varıldı.,Orman yolundan 25 metre Batıya gidilerek noktaya varıldı.,,15-09-2020,2020,5
177456,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Orta Yamaç,İSTANBUL,VİZE,HAMİDİYE,27.99285,41.708605,Ma3,Ma3,3,103,40,Güney Batı,135,E19-c2,582600,4617900,Kırklareli,Vize,35,Orman,Orman,Statülü,Diğer,Orman,Devlet Ormanı,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,A,Koruma Amaçlı Önlem Yok,,İçme Suyu Koruma,Hayır,,,,,,Az,Heterojen,,Yok,3,Örtülü,Yeşillenmiş,,Ham Humus,Yapraklı Karışık,2,1,1,110,110,,10,30,70,,5,85,20,Numune Alındı,,,Bilinmiyor,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,araçtan noktaya 184 derece 255 m,ölçüme girmeyen macar meşesi ve gürge türleri var,"profılden noktaya 150 derece 10,00 m ",,192-2021,2021,1
177466,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Normal Kapalı,Üst Yamaç,İSTANBUL,VİZE,HAMİDİYE,27.992434,41.681588,Mab3,Mab3,3,208,20,Güney,51,E19-c2,582600,4614900,Kırklareli,Vize,35,Bilinmiyor,Orman,Statülü,Diğer,Orman,Devlet Ormanı,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,Su Kenarı Koruma Alanları,Hayır,,,,,,Az,Heterojen,,Yok,5,Örtülü,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yok,2,,2,110,110+,10,25,50,,0,11-40,4110,,Numune Alındı,,,Hedef Tür Yok,Doğala Uygun,Hayvan,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, aracın kaldığı yerden 278 derece açıyla 275 metre uzaklıktadır.",-,"Nokta, profil çukuruna 283 derece açıyla 10 metre uzaklıktadır.",,23-08-2022,2022,2
177476,,,Karadeniz kiyi kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Tepe,İSTANBUL,VİZE,KIYIKÖY,27.992019,41.65457,Mab3,Mab3,3,199,5,Düzlük,144,E19-c2,582600,4611900,Kırklareli,Vize,35,Bilinmiyor,Orman,Statüsüz,,Orman,DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,İçme Suyu Koruma,Hayır,,,,,,Yok,,,Yok,,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Yapraklı Karışık,1,,1,110,110+,2,2,2,,30,30,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 350° açı ile 80 m mesafededir.",Meşcere kapası olması sebebiyle net koordinat alınamadı.,"Nokta, toprak profilinden 224° açı ile 9,05 m mesafededir.",,21-08-2023,2023,3
